,"u","t_1","&lambda;_1","pkW","p","V_T"
"1",5000,351.2000000,5.740318907,.4e-1,.5e-1,998.5091
"2",10000,351.2000000,5.740318907,.4e-1,.5e-1,3624.5931
"3",15000,351.2000000,5.740318907,.4e-1,.5e-1,6813.6100
"4",20000,351.2000000,5.740318907,.4e-1,.5e-1,10142.2614
"5",25000,351.2000000,5.740318907,.4e-1,.5e-1,13508.3286
"6",30000,351.2000000,5.740318907,.4e-1,.5e-1,16891.2297
"7",35000,351.2000000,5.740318907,.4e-1,.5e-1,20287.1909
"8",40000,351.2000000,5.740318907,.4e-1,.5e-1,23695.5105
"9",45000,351.2000000,5.740318907,.4e-1,.5e-1,27116.0024
"10",50000,351.2000000,5.740318907,.4e-1,.5e-1,30548.5607
"11",55000,351.2000000,5.740318907,.4e-1,.5e-1,33993.0916
"12",60000,351.2000000,5.740318907,.4e-1,.5e-1,37449.5035
"13",65000,351.2000000,5.740318907,.4e-1,.5e-1,40917.7056
"14",70000,351.2000000,5.740318907,.4e-1,.5e-1,44397.6078
"15",75000,351.2000000,5.740318907,.4e-1,.5e-1,47889.1209
"16",80000,351.2000000,5.740318907,.4e-1,.5e-1,51392.1560
"17",85000,351.2000000,5.740318907,.4e-1,.5e-1,54906.6253
"18",90000,351.2000000,5.740318907,.4e-1,.5e-1,58432.4413
"19",95000,351.2000000,5.740318907,.4e-1,.5e-1,61969.5174
"20",100000,351.2000000,5.740318907,.4e-1,.5e-1,65517.7675
"21",105000,351.2000000,5.740318907,.4e-1,.5e-1,69077.1065
"22",110000,351.2000000,5.740318907,.4e-1,.5e-1,72647.4494
"23",115000,351.2000000,5.740318907,.4e-1,.5e-1,76228.7124
"24",120000,351.2000000,5.740318907,.4e-1,.5e-1,79820.8119
"25",125000,351.2000000,5.740318907,.4e-1,.5e-1,83423.6652
"26",130000,351.2000000,5.740318907,.4e-1,.5e-1,87037.1902
"27",135000,351.2000000,5.740318907,.4e-1,.5e-1,90661.3054
"28",140000,351.2000000,5.740318907,.4e-1,.5e-1,94295.9298
"29",145000,351.2000000,5.740318907,.4e-1,.5e-1,97940.9832
"30",150000,351.2000000,5.740318907,.4e-1,.5e-1,101596.3860
"31",155000,351.2000000,5.740318907,.4e-1,.5e-1,105262.0590
"32",160000,351.2000000,5.740318907,.4e-1,.5e-1,108937.9239
"33",165000,351.2000000,5.740318907,.4e-1,.5e-1,112623.9027
"34",170000,351.2000000,5.740318907,.4e-1,.5e-1,116319.9183
"35",175000,351.2000000,5.740318907,.4e-1,.5e-1,120025.8940
"36",180000,351.2000000,5.740318907,.4e-1,.5e-1,123741.7537
"37",185000,351.2000000,5.740318907,.4e-1,.5e-1,127467.4219
"38",190000,351.2000000,5.740318907,.4e-1,.5e-1,131202.8236
"39",195000,351.2000000,5.740318907,.4e-1,.5e-1,134947.8846
"40",200000,351.2000000,5.740318907,.4e-1,.5e-1,138702.5311
"41",205000,351.2000000,5.740318907,.4e-1,.5e-1,142466.6898
"42",210000,351.2000000,5.740318907,.4e-1,.5e-1,146240.2881
"43",215000,351.2000000,5.740318907,.4e-1,.5e-1,150023.2539
"44",220000,351.2000000,5.740318907,.4e-1,.5e-1,153815.5156
"45",225000,351.2000000,5.740318907,.4e-1,.5e-1,157617.0022
"46",230000,351.2000000,5.740318907,.4e-1,.5e-1,161427.6433
"47",235000,351.2000000,5.740318907,.4e-1,.5e-1,165247.3690
"48",240000,351.2000000,5.740318907,.4e-1,.5e-1,169076.1098
"49",245000,351.2000000,5.740318907,.4e-1,.5e-1,172913.7969
"50",250000,351.2000000,5.740318907,.4e-1,.5e-1,176760.3620
"51",255000,351.2000000,5.740318907,.4e-1,.5e-1,180615.7372
"52",260000,351.2000000,5.740318907,.4e-1,.5e-1,184479.8553
"53",265000,351.2000000,5.740318907,.4e-1,.5e-1,188352.6495
"54",270000,351.2000000,5.740318907,.4e-1,.5e-1,192234.0534
"55",275000,351.2000000,5.740318907,.4e-1,.5e-1,196124.0014
"56",280000,351.2000000,5.740318907,.4e-1,.5e-1,200022.4282
"57",285000,351.2000000,5.740318907,.4e-1,.5e-1,203929.2691
"58",290000,351.2000000,5.740318907,.4e-1,.5e-1,207844.4596
"59",295000,351.2000000,5.740318907,.4e-1,.5e-1,211767.9362
"60",300000,351.2000000,5.740318907,.4e-1,.5e-1,215699.6354
"61",305000,351.2000000,5.740318907,.4e-1,.5e-1,219639.4946
"62",310000,351.2000000,5.740318907,.4e-1,.5e-1,223587.4512
"63",315000,351.2000000,5.740318907,.4e-1,.5e-1,227543.4436
"64",320000,351.2000000,5.740318907,.4e-1,.5e-1,231507.4103
"65",325000,351.2000000,5.740318907,.4e-1,.5e-1,235479.2904
"66",330000,351.2000000,5.740318907,.4e-1,.5e-1,239459.0235
"67",335000,351.2000000,5.740318907,.4e-1,.5e-1,243446.5496
"68",340000,351.2000000,5.740318907,.4e-1,.5e-1,247441.8092
"69",345000,351.2000000,5.740318907,.4e-1,.5e-1,251444.7431
"70",350000,351.2000000,5.740318907,.4e-1,.5e-1,255455.2928
"71",355000,351.2000000,5.740318907,.4e-1,.5e-1,259473.4001
"72",360000,351.2000000,5.740318907,.4e-1,.5e-1,263499.0074
"73",365000,351.2000000,5.740318907,.4e-1,.5e-1,267532.0571
"74",370000,351.2000000,5.740318907,.4e-1,.5e-1,271572.4927
"75",375000,351.2000000,5.740318907,.4e-1,.5e-1,275620.2576
"76",380000,351.2000000,5.740318907,.4e-1,.5e-1,279675.2958
"77",385000,351.2000000,5.740318907,.4e-1,.5e-1,283737.5518
"78",390000,351.2000000,5.740318907,.4e-1,.5e-1,287806.9705
"79",395000,351.2000000,5.740318907,.4e-1,.5e-1,291883.4972
"80",400000,351.2000000,5.740318907,.4e-1,.5e-1,295967.0775
"81",405000,351.2000000,5.740318907,.4e-1,.5e-1,300057.6575
"82",410000,351.2000000,5.740318907,.4e-1,.5e-1,304155.1840
"83",415000,351.2000000,5.740318907,.4e-1,.5e-1,308259.6036
"84",420000,351.2000000,5.740318907,.4e-1,.5e-1,312370.8639
"85",425000,351.2000000,5.740318907,.4e-1,.5e-1,316488.9125
"86",430000,351.2000000,5.740318907,.4e-1,.5e-1,320613.6977
"87",435000,351.2000000,5.740318907,.4e-1,.5e-1,324745.1679
"88",440000,351.2000000,5.740318907,.4e-1,.5e-1,328883.2721
"89",445000,351.2000000,5.740318907,.4e-1,.5e-1,333027.9596
"90",450000,351.2000000,5.740318907,.4e-1,.5e-1,337179.1801
"91",455000,351.2000000,5.740318907,.4e-1,.5e-1,341336.8838
"92",460000,351.2000000,5.740318907,.4e-1,.5e-1,345501.0211
"93",465000,351.2000000,5.740318907,.4e-1,.5e-1,349671.5429
"94",470000,351.2000000,5.740318907,.4e-1,.5e-1,353848.4004
"95",475000,351.2000000,5.740318907,.4e-1,.5e-1,358031.5452
"96",480000,351.2000000,5.740318907,.4e-1,.5e-1,362220.9293
"97",485000,351.2000000,5.740318907,.4e-1,.5e-1,366416.5051
"98",490000,351.2000000,5.740318907,.4e-1,.5e-1,370618.2251
"99",495000,351.2000000,5.740318907,.4e-1,.5e-1,374826.0426
"100",500000,351.2000000,5.740318907,.4e-1,.5e-1,379039.9109
"101",505000,351.2000000,5.740318907,.4e-1,.5e-1,383259.7839
"102",510000,351.2000000,5.740318907,.4e-1,.5e-1,387485.6156
"103",515000,351.2000000,5.740318907,.4e-1,.5e-1,391717.3606
"104",520000,351.2000000,5.740318907,.4e-1,.5e-1,395954.9736
"105",525000,351.2000000,5.740318907,.4e-1,.5e-1,400198.4099
"106",530000,351.2000000,5.740318907,.4e-1,.5e-1,404447.6249
"107",535000,351.2000000,5.740318907,.4e-1,.5e-1,408702.5746
"108",540000,351.2000000,5.740318907,.4e-1,.5e-1,412963.2151
"109",545000,351.2000000,5.740318907,.4e-1,.5e-1,417229.5030
"110",550000,351.2000000,5.740318907,.4e-1,.5e-1,421501.3951
"111",555000,351.2000000,5.740318907,.4e-1,.5e-1,425778.8486
"112",560000,351.2000000,5.740318907,.4e-1,.5e-1,430061.8211
"113",565000,351.2000000,5.740318907,.4e-1,.5e-1,434350.2704
"114",570000,351.2000000,5.740318907,.4e-1,.5e-1,438644.1546
"115",575000,351.2000000,5.740318907,.4e-1,.5e-1,442943.4323
"116",580000,351.2000000,5.740318907,.4e-1,.5e-1,447248.0623
"117",585000,351.2000000,5.740318907,.4e-1,.5e-1,451558.0035
"118",590000,351.2000000,5.740318907,.4e-1,.5e-1,455873.2156
"119",595000,351.2000000,5.740318907,.4e-1,.5e-1,460193.6583
"120",600000,351.2000000,5.740318907,.4e-1,.5e-1,464519.2915
"121",605000,351.2000000,5.740318907,.4e-1,.5e-1,468850.0756
"122",610000,351.2000000,5.740318907,.4e-1,.5e-1,473185.9714
"123",615000,351.2000000,5.740318907,.4e-1,.5e-1,477526.9397
"124",620000,351.2000000,5.740318907,.4e-1,.5e-1,481872.9418
"125",625000,351.2000000,5.740318907,.4e-1,.5e-1,486223.9393
"126",630000,351.2000000,5.740318907,.4e-1,.5e-1,490579.8939
"127",635000,351.2000000,5.740318907,.4e-1,.5e-1,494940.7680
"128",640000,351.2000000,5.740318907,.4e-1,.5e-1,499306.5237
"129",645000,351.2000000,5.740318907,.4e-1,.5e-1,503677.1240
"130",650000,351.2000000,5.740318907,.4e-1,.5e-1,508052.5317
"131",655000,351.2000000,5.740318907,.4e-1,.5e-1,512432.7102
"132",660000,351.2000000,5.740318907,.4e-1,.5e-1,516817.6229
"133",665000,351.2000000,5.740318907,.4e-1,.5e-1,521207.2339
