,"u","V_T"
"1",10000,4144.400826
"2",20000,13819.08578
"3",30000,24962.32972
"4",40000,36261.46849
"5",50000,47459.10150
"6",60000,58526.03081
"7",70000,69471.26292
"8",80000,80308.01540
"9",90000,91048.66946
"10",100000,101704.2573
"11",110000,112284.5494
"12",120000,122798.1938
"13",130000,133252.8451
"14",140000,143655.2788
"15",150000,154011.4923
"16",160000,164326.7939
"17",170000,174605.8825
"18",180000,184852.9173
"19",190000,195071.5796
"20",200000,205265.1282
"21",210000,215436.4473
"22",220000,225588.0901
"23",230000,235722.3164
"24",240000,245841.1266
"25",250000,255946.2912
"26",260000,266039.3774
"27",270000,276121.7725
"28",280000,286194.7044
"29",290000,296259.2599
"30",300000,306316.4011
"31",310000,316366.9795
"32",320000,326411.7489
"33",330000,336451.3764
"34",340000,346486.4526
"35",350000,356517.5003
"36",360000,366544.9820
"37",370000,376569.3075
"38",380000,386590.8391
"39",390000,396609.8978
"40",400000,406626.7675
