,"u","t","&pi;_W","p","q","V_T"
"1",10000,336,.2e-1,.4e-1,.25,22179.8987
"2",60000,336,.2e-1,.4e-1,.25,148281.5431
"3",110000,336,.2e-1,.4e-1,.25,258707.2107
"4",160000,336,.2e-1,.4e-1,.25,356685.1029
"5",210000,336,.2e-1,.4e-1,.25,444779.4795
"6",260000,336,.2e-1,.4e-1,.25,525026.3590
"7",310000,336,.2e-1,.4e-1,.25,599042.3374
"8",360000,336,.2e-1,.4e-1,.25,668110.9894
"9",410000,336,.2e-1,.4e-1,.25,733251.4712
"10",460000,336,.2e-1,.4e-1,.25,795272.9918
"11",510000,336,.2e-1,.4e-1,.25,854818.0617
"12",560000,336,.2e-1,.4e-1,.25,912396.8333
"13",610000,336,.2e-1,.4e-1,.25,968414.3669
"14",660000,336,.2e-1,.4e-1,.25,1023192.280
"15",710000,336,.2e-1,.4e-1,.25,1076985.936
"16",760000,336,.2e-1,.4e-1,.25,1129998.093
"17",810000,336,.2e-1,.4e-1,.25,1182389.742
"18",860000,336,.2e-1,.4e-1,.25,1234288.707
"19",910000,336,.2e-1,.4e-1,.25,1285796.483
"20",960000,336,.2e-1,.4e-1,.25,1336993.654
"21",10000,336,.2e-1,.4e-1,.50,220993.647
"22",60000,336,.2e-1,.4e-1,.50,1164401.387
"23",110000,336,.2e-1,.4e-1,.50,1642217.659
"24",160000,336,.2e-1,.4e-1,.50,1897076.294
"25",210000,336,.2e-1,.4e-1,.50,2045172.284
"26",260000,336,.2e-1,.4e-1,.50,2142145.276
"27",310000,336,.2e-1,.4e-1,.50,2214638.164
"28",360000,336,.2e-1,.4e-1,.50,2275408.820
"29",410000,336,.2e-1,.4e-1,.50,2330566.320
"30",460000,336,.2e-1,.4e-1,.50,2383035.974
"31",510000,336,.2e-1,.4e-1,.50,2434218.561
"32",560000,336,.2e-1,.4e-1,.50,2484784.839
"33",610000,336,.2e-1,.4e-1,.50,2535056.000
"34",660000,336,.2e-1,.4e-1,.50,2585185.845
"35",710000,336,.2e-1,.4e-1,.50,2635248.020
"36",760000,336,.2e-1,.4e-1,.50,2685277.793
"37",810000,336,.2e-1,.4e-1,.50,2735292.050
"38",860000,336,.2e-1,.4e-1,.50,2785298.876
"39",910000,336,.2e-1,.4e-1,.50,2835302.145
"40",960000,336,.2e-1,.4e-1,.50,2885303.711
"41",10000,336,.2e-1,.4e-1,.75,632829.335
"42",60000,336,.2e-1,.4e-1,.75,2722251.545
"43",110000,336,.2e-1,.4e-1,.75,3350335.196
"44",160000,336,.2e-1,.4e-1,.75,3564188.444
"45",210000,336,.2e-1,.4e-1,.75,3660631.353
"46",260000,336,.2e-1,.4e-1,.75,3723795.230
"47",310000,336,.2e-1,.4e-1,.75,3777526.426
"48",360000,336,.2e-1,.4e-1,.75,3828584.005
"49",410000,336,.2e-1,.4e-1,.75,3878883.767
"50",460000,336,.2e-1,.4e-1,.75,3928968.732
"51",510000,336,.2e-1,.4e-1,.75,3978992.815
"52",560000,336,.2e-1,.4e-1,.75,4028999.641
"53",610000,336,.2e-1,.4e-1,.75,4079001.576
"54",660000,336,.2e-1,.4e-1,.75,4129002.124
"55",710000,336,.2e-1,.4e-1,.75,4179002.280
"56",760000,336,.2e-1,.4e-1,.75,4229002.324
"57",810000,336,.2e-1,.4e-1,.75,4279002.336
"58",860000,336,.2e-1,.4e-1,.75,4329002.340
"59",910000,336,.2e-1,.4e-1,.75,4379002.341
"60",960000,336,.2e-1,.4e-1,.75,4429002.341
"61",10000,336,.3e-1,.4e-1,.25,1399.4360
"62",60000,336,.3e-1,.4e-1,.25,12325.7923
