,"u","t","p","V_T"
"1",10000,24,.1e-1,10969.18010
"2",60000,24,.1e-1,65470.69898
"3",110000,24,.1e-1,116570.5435
"4",160000,24,.1e-1,166839.2657
"5",210000,24,.1e-1,216904.9219
"6",260000,24,.1e-1,266920.9636
"7",310000,24,.1e-1,316924.8830
"8",360000,24,.1e-1,366925.8406
"9",410000,24,.1e-1,416926.0746
"10",460000,24,.1e-1,466926.1317
"11",510000,24,.1e-1,516926.1457
"12",560000,24,.1e-1,566926.1491
"13",610000,24,.1e-1,616926.1499
"14",660000,24,.1e-1,666926.1501
"15",710000,24,.1e-1,716926.1502
"16",760000,24,.1e-1,766926.1502
"17",810000,24,.1e-1,816926.1502
"18",860000,24,.1e-1,866926.1502
"19",910000,24,.1e-1,916926.1502
"20",960000,24,.1e-1,966926.1502
"21",10000,168,.1e-1,13796.02294
"22",60000,168,.1e-1,82805.71112
"23",110000,168,.1e-1,144592.1770
"24",160000,168,.1e-1,201900.0706
"25",210000,168,.1e-1,256431.1411
"26",260000,168,.1e-1,309240.5143
"27",310000,168,.1e-1,360982.3935
"28",360000,168,.1e-1,412062.4007
"29",410000,168,.1e-1,462732.0313
"30",460000,168,.1e-1,513147.2184
"31",510000,168,.1e-1,563404.6444
"32",560000,168,.1e-1,613564.2548
"33",610000,168,.1e-1,663663.2171
"34",660000,168,.1e-1,713724.5761
"35",710000,168,.1e-1,763762.6201
"36",760000,168,.1e-1,813786.2084
"37",810000,168,.1e-1,863800.8337
"38",860000,168,.1e-1,913809.9017
"39",910000,168,.1e-1,963815.5241
"40",960000,168,.1e-1,1013819.010
"41",10000,336,.1e-1,16045.3454
"42",60000,336,.1e-1,96430.56434
"43",110000,336,.1e-1,167808.5939
"44",160000,336,.1e-1,232849.4645
"45",210000,336,.1e-1,293431.7208
"46",260000,336,.1e-1,350877.0444
"47",310000,336,.1e-1,406115.3266
"48",360000,336,.1e-1,459800.8076
"49",410000,336,.1e-1,512393.7895
"50",460000,336,.1e-1,564218.1254
"51",510000,336,.1e-1,615501.6674
"52",560000,336,.1e-1,666404.7249
"53",610000,336,.1e-1,717040.0861
"54",660000,336,.1e-1,767487.1051
"55",710000,336,.1e-1,817801.6128
"56",760000,336,.1e-1,868022.8900
"57",810000,336,.1e-1,918178.5732
"58",860000,336,.1e-1,968288.1068
"59",910000,336,.1e-1,1018365.171
"60",960000,336,.1e-1,1068419.391
"61",10000,24,.1,15488.7497
"62",60000,24,.1,163339.7935
"63",110000,24,.1,273473.3051
"64",160000,24,.1,359004.3720
"65",210000,24,.1,429998.6030
"66",260000,24,.1,492403.4582
"67",310000,24,.1,549733.1112
"68",360000,24,.1,604063.9812
"69",410000,24,.1,656622.9610
"70",460000,24,.1,708134.9847
"71",510000,24,.1,759028.3937
"72",560000,24,.1,809556.2820
"73",610000,24,.1,859868.1952
"74",660000,24,.1,910052.4953
"75",710000,24,.1,960161.3926
"76",760000,24,.1,1010225.737
"77",810000,24,.1,1060263.756
"78",860000,24,.1,1110286.220
"79",910000,24,.1,1160299.493
"80",960000,24,.1,1210307.336
"81",10000,168,.1,60395.868
"82",60000,168,.1,646641.888
"83",110000,168,.1,1076524.910
"84",160000,168,.1,1387991.660
"85",210000,168,.1,1617954.601
"86",260000,168,.1,1791819.910
"87",310000,168,.1,1927074.212
"88",360000,168,.1,2035753.241
"89",410000,168,.1,2126140.978
"90",460000,168,.1,2203939.144
"91",510000,168,.1,2273072.130
"92",560000,168,.1,2336241.026
"93",610000,168,.1,2395304.944
"94",660000,168,.1,2451543.478
"95",710000,168,.1,2505837.351
"96",760000,168,.1,2558792.748
"97",810000,168,.1,2610826.895
"98",860000,168,.1,2662226.963
"99",910000,168,.1,2713190.605
