,"u","t_1","&lambda;_1","pkW","p","psi_T"
"1",5000,373.2521740,5.401174168,.5e-1,.15,.9986915313
"2",10000,373.2521740,5.401174168,.5e-1,.15,.9949297257
"3",15000,373.2521740,5.401174168,.5e-1,.15,.9888412003
"4",20000,373.2521740,5.401174168,.5e-1,.15,.9808635528
"5",25000,373.2521740,5.401174168,.5e-1,.15,.9714811901
"6",30000,373.2521740,5.401174168,.5e-1,.15,.9611197451
"7",35000,373.2521740,5.401174168,.5e-1,.15,.9501160166
"8",40000,373.2521740,5.401174168,.5e-1,.15,.9387207011
"9",45000,373.2521740,5.401174168,.5e-1,.15,.9271128939
"10",50000,373.2521740,5.401174168,.5e-1,.15,.9154166975
"11",55000,373.2521740,5.401174168,.5e-1,.15,.9037160124
"12",60000,373.2521740,5.401174168,.5e-1,.15,.8920663391
"13",65000,373.2521740,5.401174168,.5e-1,.15,.8805036148
"14",70000,373.2521740,5.401174168,.5e-1,.15,.8690505708
"15",75000,373.2521740,5.401174168,.5e-1,.15,.8577211662
"16",80000,373.2521740,5.401174168,.5e-1,.15,.8465236151
"17",85000,373.2521740,5.401174168,.5e-1,.15,.8354624162
"18",90000,373.2521740,5.401174168,.5e-1,.15,.8245396927
"19",95000,373.2521740,5.401174168,.5e-1,.15,.8137560666
"20",100000,373.2521740,5.401174168,.5e-1,.15,.8031112229
"21",105000,373.2521740,5.401174168,.5e-1,.15,.7926042692
"22",110000,373.2521740,5.401174168,.5e-1,.15,.7822339641
"23",115000,373.2521740,5.401174168,.5e-1,.15,.7719988605
"24",120000,373.2521740,5.401174168,.5e-1,.15,.7618973935
"25",125000,373.2521740,5.401174168,.5e-1,.15,.7519279366
"26",130000,373.2521740,5.401174168,.5e-1,.15,.7420888345
"27",135000,373.2521740,5.401174168,.5e-1,.15,.7323784236
"28",140000,373.2521740,5.401174168,.5e-1,.15,.7227950449
"29",145000,373.2521740,5.401174168,.5e-1,.15,.7133370501
"30",150000,373.2521740,5.401174168,.5e-1,.15,.7040028063
"31",155000,373.2521740,5.401174168,.5e-1,.15,.6947906992
"32",160000,373.2521740,5.401174168,.5e-1,.15,.6856991327
"33",165000,373.2521740,5.401174168,.5e-1,.15,.6767265312
"34",170000,373.2521740,5.401174168,.5e-1,.15,.6678713384
"35",175000,373.2521740,5.401174168,.5e-1,.15,.6591320185
"36",180000,373.2521740,5.401174168,.5e-1,.15,.6505070556
"37",185000,373.2521740,5.401174168,.5e-1,.15,.6419949529
"38",190000,373.2521740,5.401174168,.5e-1,.15,.6335942341
"39",195000,373.2521740,5.401174168,.5e-1,.15,.6253034415
"40",200000,373.2521740,5.401174168,.5e-1,.15,.6171211368
"41",205000,373.2521740,5.401174168,.5e-1,.15,.6090459002
"42",210000,373.2521740,5.401174168,.5e-1,.15,.6010763308
"43",215000,373.2521740,5.401174168,.5e-1,.15,.5932110459
"44",220000,373.2521740,5.401174168,.5e-1,.15,.5854486809
"45",225000,373.2521740,5.401174168,.5e-1,.15,.5777878891
"46",230000,373.2521740,5.401174168,.5e-1,.15,.5702273413
"47",235000,373.2521740,5.401174168,.5e-1,.15,.5627657258
"48",240000,373.2521740,5.401174168,.5e-1,.15,.5554017480
"49",245000,373.2521740,5.401174168,.5e-1,.15,.5481341303
"50",250000,373.2521740,5.401174168,.5e-1,.15,.5409616120
"51",255000,373.2521740,5.401174168,.5e-1,.15,.5338829483
"52",260000,373.2521740,5.401174168,.5e-1,.15,.5268969113
"53",265000,373.2521740,5.401174168,.5e-1,.15,.5200022890
"54",270000,373.2521740,5.401174168,.5e-1,.15,.5131978852
"55",275000,373.2521740,5.401174168,.5e-1,.15,.5064825191
"56",280000,373.2521740,5.401174168,.5e-1,.15,.4998550260
"57",285000,373.2521740,5.401174168,.5e-1,.15,.4933142556
"58",290000,373.2521740,5.401174168,.5e-1,.15,.4868590737
"59",295000,373.2521740,5.401174168,.5e-1,.15,.4804883598
"60",300000,373.2521740,5.401174168,.5e-1,.15,.4742010089
"61",305000,373.2521740,5.401174168,.5e-1,.15,.4679959302
"62",310000,373.2521740,5.401174168,.5e-1,.15,.4618720468
"63",315000,373.2521740,5.401174168,.5e-1,.15,.4558282966
"64",320000,373.2521740,5.401174168,.5e-1,.15,.4498636308
"65",325000,373.2521740,5.401174168,.5e-1,.15,.4439770147
"66",330000,373.2521740,5.401174168,.5e-1,.15,.4381674270
"67",335000,373.2521740,5.401174168,.5e-1,.15,.4324338596
"68",340000,373.2521740,5.401174168,.5e-1,.15,.4267753179
"69",345000,373.2521740,5.401174168,.5e-1,.15,.4211908202
"70",350000,373.2521740,5.401174168,.5e-1,.15,.4156793973
"71",355000,373.2521740,5.401174168,.5e-1,.15,.4102400934
"72",360000,373.2521740,5.401174168,.5e-1,.15,.4048719647
"73",365000,373.2521740,5.401174168,.5e-1,.15,.3995740795
"74",370000,373.2521740,5.401174168,.5e-1,.15,.3943455191
"75",375000,373.2521740,5.401174168,.5e-1,.15,.3891853760
"76",380000,373.2521740,5.401174168,.5e-1,.15,.3840927550
"77",385000,373.2521740,5.401174168,.5e-1,.15,.3790667731
"78",390000,373.2521740,5.401174168,.5e-1,.15,.3741065575
"79",395000,373.2521740,5.401174168,.5e-1,.15,.3692112480
"80",400000,373.2521740,5.401174168,.5e-1,.15,.3643799952
"81",405000,373.2521740,5.401174168,.5e-1,.15,.3596119613
"82",410000,373.2521740,5.401174168,.5e-1,.15,.3549063185
"83",415000,373.2521740,5.401174168,.5e-1,.15,.3502622505
"84",420000,373.2521740,5.401174168,.5e-1,.15,.3456789517
"85",425000,373.2521740,5.401174168,.5e-1,.15,.3411556272
"86",430000,373.2521740,5.401174168,.5e-1,.15,.3366914917
"87",435000,373.2521740,5.401174168,.5e-1,.15,.3322857708
"88",440000,373.2521740,5.401174168,.5e-1,.15,.3279377002
"89",445000,373.2521740,5.401174168,.5e-1,.15,.3236465260
"90",450000,373.2521740,5.401174168,.5e-1,.15,.3194115028
"91",455000,373.2521740,5.401174168,.5e-1,.15,.3152318963
"92",460000,373.2521740,5.401174168,.5e-1,.15,.3111069815
"93",465000,373.2521740,5.401174168,.5e-1,.15,.3070360428
"94",470000,373.2521740,5.401174168,.5e-1,.15,.3030183734
"95",475000,373.2521740,5.401174168,.5e-1,.15,.2990532765
"96",480000,373.2521740,5.401174168,.5e-1,.15,.2951400644
"97",485000,373.2521740,5.401174168,.5e-1,.15,.2912780581
"98",490000,373.2521740,5.401174168,.5e-1,.15,.2874665871
"99",495000,373.2521740,5.401174168,.5e-1,.15,.2837049906
"100",500000,373.2521740,5.401174168,.5e-1,.15,.2799926162
"101",505000,373.2521740,5.401174168,.5e-1,.15,.2763288190
"102",510000,373.2521740,5.401174168,.5e-1,.15,.2727129640
"103",515000,373.2521740,5.401174168,.5e-1,.15,.2691444235
"104",520000,373.2521740,5.401174168,.5e-1,.15,.2656225789
"105",525000,373.2521740,5.401174168,.5e-1,.15,.2621468186
"106",530000,373.2521740,5.401174168,.5e-1,.15,.2587165397
"107",535000,373.2521740,5.401174168,.5e-1,.15,.2553311471
"108",540000,373.2521740,5.401174168,.5e-1,.15,.2519900539
"109",545000,373.2521740,5.401174168,.5e-1,.15,.2486926797
"110",550000,373.2521740,5.401174168,.5e-1,.15,.2454384527
"111",555000,373.2521740,5.401174168,.5e-1,.15,.2422268083
"112",560000,373.2521740,5.401174168,.5e-1,.15,.2390571897
