,"u","t","p","&Psi;_T"
"1",10000,24,.1e-1,.7613364935
"2",60000,24,.1e-1,.1860153930
"3",110000,24,.1e-1,.4544866397e-1
"4",160000,24,.1e-1,.1110435552e-1
"5",210000,24,.1e-1,.2713098708e-2
"6",260000,24,.1e-1,.6628844501e-3
"7",310000,24,.1e-1,.1619608578e-3
"8",360000,24,.1e-1,.3957148102e-4
"9",410000,24,.1e-1,.9668398521e-5
"10",460000,24,.1e-1,.2362255003e-5
"11",510000,24,.1e-1,.5771637095e-6
"12",560000,24,.1e-1,.1410169297e-6
"13",610000,24,.1e-1,.3445430460e-7
"14",660000,24,.1e-1,.8418131922e-8
"15",710000,24,.1e-1,.2056780573e-8
"16",760000,24,.1e-1,.5025279251e-9
"17",810000,24,.1e-1,.1227813597e-9
"18",860000,24,.1e-1,.2999885459e-10
"19",910000,24,.1e-1,.7329543243e-11
"20",960000,24,.1e-1,.1790808494e-11
"21",10000,168,.1e-1,.9140875810
"22",60000,168,.1e-1,.5667563807
"23",110000,168,.1e-1,.3514026464
"24",160000,168,.1e-1,.2178781294
"25",210000,168,.1e-1,.1350897032
"26",260000,168,.1e-1,.8375887915e-1
"27",310000,168,.1e-1,.5193252831e-1
"28",360000,168,.1e-1,.3219942205e-1
"29",410000,168,.1e-1,.1996441947e-1
"30",460000,168,.1e-1,.1237842233e-1
"31",510000,168,.1e-1,.7674920850e-2
"32",560000,168,.1e-1,.4758636325e-2
"33",610000,168,.1e-1,.2950469469e-2
"34",660000,168,.1e-1,.1829362342e-2
"35",710000,168,.1e-1,.1134248841e-2
"36",760000,168,.1e-1,.7032616806e-3
"37",810000,168,.1e-1,.4360392297e-3
"38",860000,168,.1e-1,.2703548552e-3
"39",910000,168,.1e-1,.1676265408e-3
"40",960000,168,.1e-1,.1039325045e-3
"41",10000,336,.1e-1,.9364849175
"42",60000,336,.1e-1,.6588796429
"43",110000,336,.1e-1,.4635658041
"44",160000,336,.1e-1,.3261494828
"45",210000,336,.1e-1,.2294679292
"46",260000,336,.1e-1,.1614460034
"47",310000,336,.1e-1,.1135880388
"48",360000,336,.1e-1,.7991676643e-1
"49",410000,336,.1e-1,.5622677902e-1
"50",460000,336,.1e-1,.3955929175e-1
"51",510000,336,.1e-1,.2783260205e-1
"52",560000,336,.1e-1,.1958209316e-1
"53",610000,336,.1e-1,.1377730950e-1
"54",660000,336,.1e-1,.9693256761e-2
"55",710000,336,.1e-1,.6819853089e-2
"56",760000,336,.1e-1,.4798221822e-2
"57",810000,336,.1e-1,.3375869297e-2
"58",860000,336,.1e-1,.2375149364e-2
"59",910000,336,.1e-1,.1671076102e-2
"60",960000,336,.1e-1,.1175713570e-2
"61",10000,24,.1,.9478301332
"62",60000,24,.1,.5657402561
"63",110000,24,.1,.3342787702
"64",160000,24,.1,.1975151985
"65",210000,24,.1,.1167057471
"66",260000,24,.1,.6895789034e-1
"67",310000,24,.1,.4074512833e-1
"68",360000,24,.1,.2407506196e-1
"69",410000,24,.1,.1422522476e-1
"70",460000,24,.1,.8405254361e-2
"71",510000,24,.1,.4966410166e-2
"72",560000,24,.1,.2934501310e-2
"73",610000,24,.1,.1733907924e-2
"74",660000,24,.1,.1024513664e-2
"75",710000,24,.1,.6053540863e-3
"76",760000,24,.1,.3576853904e-3
"77",810000,24,.1,.2113454611e-3
"78",860000,24,.1,.1248776303e-3
"79",910000,24,.1,.7378640861e-4
"80",960000,24,.1,.4359815346e-4
"81",10000,168,.1,.9677663951
"82",60000,168,.1,.6714964677
"83",110000,168,.1,.4621791359
"84",160000,168,.1,.3181097261
"85",210000,168,.1,.2189492991
"86",260000,168,.1,.1506989306
"87",310000,168,.1,.1037234092
"88",360000,168,.1,.7139098829e-1
"89",410000,168,.1,.4913715477e-1
"90",460000,168,.1,.3382023469e-1
"91",510000,168,.1,.2327786947e-1
