u,strategy,ψ_u_T,ψ_u_T_low,ψ_u_T_up,V_u_T,V_u_T_low,V_u_T_up,p,t
10000,AG,0.93514,0.9329813119963704,0.9372986880036296,16488.93506858259,15651.577746506175,17326.292390659,0.01,336
60000,AG,0.65656,0.6523977732427306,0.6607222267572694,96675.4312911616,94818.8264936232,98532.0360887,0.01,336
110000,AG,0.45982,0.4554515610806831,0.46418843891931694,166777.76422309567,164525.59027074036,169029.93817545098,0.01,336
160000,AG,0.32464000000000004,0.3205357692386385,0.32874423076136156,230875.412780945,228405.78865315235,233345.03690873762,0.01,336
210000,AG,0.22868,0.22499875707962733,0.23236124292037266,291515.3260632784,288916.6992431778,294113.95288337907,0.01,336
260000,AG,0.16091999999999995,0.15769915529486817,0.16414084470513174,349028.96450971824,346362.28581878147,351695.643200655,0.01,336
310000,AG,0.11395999999999995,0.11117473851737153,0.11674526148262837,404216.0697928529,401505.63437200524,406926.5052137006,0.01,336
360000,AG,0.07999999999999996,0.07762205395686489,0.08237794604313503,458014.1860027159,455278.9664227565,460749.4055826753,0.01,336
410000,AG,0.05611999999999995,0.054102654369563255,0.05813734563043664,510502.21130110114,507754.8536674832,513249.5689347191,0.01,336
460000,AG,0.038959999999999995,0.03726393186461655,0.04065606813538344,562350.4298488472,559598.1308459117,565102.7288517827,0.01,336
510000,AG,0.028039999999999954,0.02659297414948624,0.029487025850513666,613297.441571695,610540.2972057664,616054.5859376236,0.01,336
560000,AG,0.019499999999999962,0.018287995608201265,0.02071200439179866,664399.1577181682,661643.5977960095,667154.7176403269,0.01,336
610000,AG,0.01427999999999996,0.01324007031176974,0.015319929688230179,714988.5800408246,712233.1265098908,717744.0335717584,0.01,336
660000,AG,0.010199999999999987,0.009319281945281283,0.011080718054718691,765500.396304294,762745.873221429,768254.919387159,0.01,336
710000,AG,0.007480000000000042,0.006724762543021234,0.00823523745697885,815781.5413123912,813027.0785589165,818536.0040658659,0.01,336
760000,AG,0.005079999999999973,0.004456855127819905,0.005703144872180042,866038.0174963109,863285.5741974533,868790.4607951684,0.01,336
810000,AG,0.0032999999999999696,0.0027973076363871307,0.0038026923636128086,916256.0860847338,913506.0208863236,919006.151283144,0.01,336
860000,AG,0.0022799999999999487,0.0018619436240971546,0.002698056375902743,966395.962104722,963647.5092847865,969144.4149246576,0.01,336
910000,AG,0.0016800000000000148,0.0013210345786739306,0.0020389654213260992,1016455.9657256717,1013707.8116483983,1019204.1198029452,0.01,336
960000,AG,0.0011600000000000499,0.0008616403792395908,0.001458359620760509,1066539.9534724194,1063792.8883964815,1069287.0185483573,0.01,336
10000,ES,0.9352,0.933042241476279,0.937357758523721,16472.913463372843,15635.688685518453,17310.138241227232,0.01,336
60000,ES,0.65656,0.6523977732427306,0.6607222267572694,96704.11511459747,94846.94802690142,98561.28220229353,0.01,336
110000,ES,0.45987999999999996,0.45551151871301077,0.46424848128698915,166798.69183834744,164545.92690057462,169051.45677612026,0.01,336
160000,ES,0.3246,0.32049590056182486,0.32870409943817513,230926.81062685754,228456.4809438764,233397.14030983867,0.01,336
210000,ES,0.22868,0.22499875707962733,0.23236124292037266,291570.8927879538,288971.51819445315,294170.2673814544,0.01,336
260000,ES,0.16093999999999997,0.15771899353721086,0.16416100646278908,349083.1889069063,346415.7299326139,351750.6478811987,0.01,336
310000,ES,0.11397999999999997,0.11119452555903084,0.1167654744409691,404276.5132908656,401565.27269857645,406987.7538831547,0.01,336
360000,ES,0.08001999999999998,0.0776417825827957,0.08239821741720427,458068.328490811,455332.2816834126,460804.3752982094,0.01,336
410000,ES,0.05611999999999995,0.054102654369563255,0.05813734563043664,510566.78399720864,507818.6703180591,513314.8976763582,0.01,336
460000,ES,0.038959999999999995,0.03726393186461655,0.04065606813538344,562416.7962309577,559663.7563485203,565169.8361133952,0.01,336
510000,ES,0.028020000000000045,0.026573475416939232,0.029466524583060857,613370.1704251309,610612.3098986334,616128.0309516283,0.01,336
560000,ES,0.019480000000000053,0.01826860495368486,0.020691395046315245,664472.8865716042,661716.6301365265,667229.1430066818,0.01,336
610000,ES,0.01427999999999996,0.01324007031176974,0.015319929688230179,715058.5337949413,712302.324878738,717814.7427111445,0.01,336
660000,ES,0.010220000000000007,0.009338427825756666,0.011101572174243348,765569.6479159038,762814.3555451494,768324.9402866582,0.01,336
710000,ES,0.007480000000000042,0.006724762543021234,0.00823523745697885,815851.4950665077,813096.2782029985,818606.711930017,0.01,336
760000,ES,0.005079999999999973,0.004456855127819905,0.005703144872180042,866109.7649364304,863356.5906769767,868862.939195884,0.01,336
810000,ES,0.0032999999999999696,0.0027973076363871307,0.0038026923636128086,916327.8335248533,913577.0371709287,919078.629878778,0.01,336
860000,ES,0.0022799999999999487,0.0018619436240971546,0.002698056375902743,966467.7095448413,963718.5254210477,969216.8936686349,0.01,336
910000,ES,0.0016800000000000148,0.0013210345786739306,0.0020389654213260992,1016527.7131657911,1013778.8278255133,1019276.5985060689,0.01,336
960000,ES,0.0011600000000000499,0.0008616403792395908,0.001458359620760509,1066611.7009125391,1063863.9044522783,1069359.4973728,0.01,336
10000,AG,0.96906,0.9675422558161327,0.9705777441838673,116310.84701697121,108103.23732905959,124518.45670488283,0.1,336
60000,AG,0.6824399999999999,0.6783595484773233,0.6865204515226766,1196443.4523048063,1172153.9280169092,1220732.9765927035,0.1,336
110000,AG,0.47897999999999996,0.4746012618405033,0.48335873815949665,1993612.9991577491,1964180.9789857846,2023045.0193297137,0.1,336
160000,AG,0.3346,0.33046412451448937,0.33873587548551065,2579219.321884788,2547441.4233245286,2610997.2204450476,0.1,336
210000,AG,0.23473999999999995,0.2310249800894687,0.2384550199105312,2986973.0552038094,2954144.174163286,3019801.9362443327,0.1,336
260000,AG,0.16410000000000002,0.1608536559708786,0.16734634402912144,3295284.05015684,3261977.654802585,3328590.445511095,0.1,336
310000,AG,0.11504000000000003,0.1122432776960825,0.11783672230391756,3525158.8129853345,3491633.438791407,3558684.1871792623,0.1,336
360000,AG,0.0807,0.07831258187711145,0.08308741812288854,3699615.0289359917,3666008.734568507,3733221.3233034764,0.1,336
410000,AG,0.05613999999999997,0.05412231630841117,0.05815768369158877,3840503.7203686065,3806865.703898711,3874141.736838502,0.1,336
460000,AG,0.039919999999999956,0.03820402061340981,0.041635979386590104,3947653.5281432667,3913999.0504137217,3981308.0058728117,0.1,336
510000,AG,0.028079999999999994,0.026631972198824797,0.02952802780117519,4040261.809168012,4006616.2963094017,4073907.322026622,0.1,336
560000,AG,0.01959999999999995,0.018384953843962683,0.020815046156037218,4122393.4683828447,4088743.7393291546,4156043.197436535,0.1,336
610000,AG,0.01429999999999998,0.01325935288188854,0.015340647118111419,4191512.4543669885,4157852.6656875885,4225172.243046389,0.1,336
660000,AG,0.00992000000000004,0.009051331508940382,0.010788668491059698,4259383.267779145,4225733.041409418,4293033.494148873,0.1,336
710000,AG,0.007120000000000015,0.006383027187023818,0.007856972812976213,4320084.233943927,4286451.144155003,4353717.323732851,0.1,336
760000,AG,0.005120000000000013,0.00449441918789266,0.005745580812107367,4377439.640103277,4343809.907763541,4411069.372443013,0.1,336
810000,AG,0.0036800000000000166,0.003149254375652136,0.004210745624347897,4432214.556528565,4398589.142865455,4465839.970191674,0.1,336
860000,AG,0.0028000000000000247,0.002336837659976801,0.0032631623400232483,4484787.640513882,4451168.706351554,4518406.57467621,0.1,336
910000,AG,0.0018799999999999928,0.001500306298950079,0.0022596937010499066,4537698.12630892,4504087.65378226,4571308.59883558,0.1,336
960000,AG,0.0013400000000000079,0.001019355115547699,0.0016606448844523167,4589296.535914853,4555690.891812114,4622902.180017592,0.1,336
